Genesisy	Genèse
Eksodosy	Exode
Levitikosy	Lévitique
Nomery	Nombres
Deotoronomia	Deutéronome
Josoa	Josué
Mpitsara	Juges
Rota	Ruth
ISamoela	1Samuel
IISamoela	2Samuel
IMpanjaka	1Rois
IIMpanjaka	2Rois
ITantara	1Chroniques
IITantara	2Chroniques
Ezra	Esdras
Nehemia	Néhémie
Estera	Esther
Joba	Job
Salamo	Psaumes
Ohabolana	Proverbes
Mpitoriteny	Ecclésiaste
Tononkira	Cantique des Cantiques
Isaia	Ésaïe
Jeremia	Jérémie
Fitomaniana	Lamentations
Ezekiela	Ézéchiel
Daniela	Daniel
Hosea	Osée
Joela	Joël
Amosa	Amos
Obadia	Abdias
Jona	Jonas
Mika	Michée
Nahoma	Nahum
Habakoka	Habacuc
Zefania	Sophonie
Hagay	Aggée
Zakaria	Zacharie
Malakia	Malachie
Matio	Matthieu
Marka	Marc
Lioka	Luc
Jaona	Jean
Asa	Actes
Romana	Romains
IKorintiana	1Corinthiens
IIKorintiana	2Corinthiens
Galatiana	Galates
Efesiana	Ephésiens
Filipiana	Philippiens
Kolosiana	Colossiens
ITesaloniana	1Thessaloniciens
IITesaloniana	2Thessaloniciens
ITimoty	1Timothée
IITimoty	2Timothée
Titosy	Tite
Filemona	Philémon
Hebreo	Hébreux
Jakoba	Jacques
IPetera	1Pierre
IIPetera	2Pierre
IJaona	1Jean
IIJaona	2Jean
IIIJaona	3 Jean
Joda	Jude
Apokalypsy	Apocalypse
